System,Body,Spectrum,Parallax,RA(hh),RA(mi),RA(ss),DEC(deg),DEC(mi),DEC(ss),Distance(LY),x,y,z
Luhman 16,Luhman 16 A,L7.5,0.493939394,10,49,15.57,-53,19,6,6.6,-3.78,1.21,-5.27
Luhman 16,Luhman 16 B,T0.5,0.493939394,10,49,15.57,-53,19,6,6.6,-3.78,1.21,-5.27
WISE 1506+7027,WISE 1506+7027,T6,0.29398503,15,6,49.9,70,27,36,11.09,-2.6,-2.76,10.42
Epsilon Indi,Epsilon Indi B a,T1 V,0.275710419,22,3,21.7,-56,47,10,11.82,5.77,-3.22,-9.8
Epsilon Indi,Epsilon Indi B b,T6 V,0.275710419,22,3,21.7,-56,47,10,11.82,5.77,-3.22,-9.8
WISE 0350-5658,WISE 0350-5658,Y1,0.270135897,3,50,0.32,-56,58,30.2,12.07,3.62,5.69,-10.01
SCR 1845-6357,SCR 1845-6357 B,T6,0.259347653,18,45,5.3,-63,57,48,12.57,1.11,-5.59,-11.2
WISE 0535-7500,WISE 0535-7500,T0,0.250769231,5,35,16.8,-75,0,24.9,13,0.36,3.35,-12.56
UGPS 0722-05,UGPS 0722-05,T9,0.247908745,7,22,27.3,-5,40,30,13.15,-4.61,12.26,-1.15
DEN J081730.0-615520,DEN J081730.0-615520,T6,0.202988792,8,17,30.096,-61,55,15.802,16.06,-4.4,6.43,-14.05
DEN 0255-4700,DEN 0255-4700,L7.5 V,0.201234568,2,55,3.7,-47,0,52,16.2,7.98,7.64,-11.85
WISE 1639-6847,WISE 1639-6847,Y0,0.2,16,39,40.83,-68,47,38.6,16.3,-2.1,-5.73,-15.11
2MA 0939-2448,2MA 0939-2448 A,T8,0.187248708,9,39,35.48,-24,48,27.9,17.41,-13.01,9.15,-7.08
2MA 0939-2448,2MA 0939-2448 B,T8,0.187248708,9,39,35.48,-24,48,27.9,17.41,-13.01,9.15,-7.08
2MA 1835+3259,2MA 1835+3259,M8.5 V,0.176502436,18,35,37.902,32,59,54.59,18.47,2.43,-15.47,9.79
2MA 0415-0935,2MA 0415-0935,T8 V,0.174331551,4,15,19.5,-9,25,7,18.7,8.15,16.58,-2.93
BD-21 1377,BD-21 1377 B,T6,0.173127987,6,10,34.6224,-21,51,52.7148,18.83,-0.81,17.56,-6.75
WISE 1741+2553,WISE 1741+2553,T9,0.172486772,17,41,24.22,25,53,18.96,18.9,-1.39,-17.07,7.99
WISE 0359-5401,WISE 0359-5401,Y0,0.169791667,3,59,34.06,-54,1,54.6,19.2,5.66,9.76,-15.53
SIMP 0136+0933,SIMP 0136+0933,T2.5,0.166581502,1,36,57,9,33,47,19.57,17.62,7.93,3.06
2MA 0937+2931,2MA 0937+2931,T6 p,0.163326653,9,37,34.9,29,31,41,19.96,-14.19,10.16,9.68
WISE 0254+0223,WISE 0254+0223,T8,0.163,2,54,9.62,2,23,58.85,20,14.49,13.77,0.7
WISE 1738+2732,WISE 1738+2732,Y0,0.163,17,38,35.54,27,32,58.78,20,-1.66,-17.74,9.08
WISE 1541-2250,WISE 1541-2250,Y0.5,0.163,15,41,51.57,-22,50,25.03,20,-10.51,-15.28,-7.49
WISE 0410+1502,WISE 0410+1502,Y0,0.159960746,4,10,22.79,15,2,47.47,20.38,9.06,17.48,5.27
WISE 0146+4234,WISE 0146+4234,Y0,0.15902439,1,46,56.66,42,34,10,20.5,13.61,6.85,13.72
LP 944-020,LP 944-020,M9,0.155980861,3,39,35.22,-35,24,44.09,20.9,9.84,14.01,-11.99
Scholz,Scholz B,T5.5,0.147,7,20,3.254,-8,46,49.9,22.18,-7.52,20.63,-3.09
WISE 1928+2356,WISE 1928+2356,T6,0.142982456,19,28,41.35,23,56,4.9,22.8,7.92,-19.44,8.91
WISE 0005+3737,WISE 0005+3737,T9,0.140517241,0,5,17.48,37,37,20.5,23.2,18.52,0.43,13.96
WISE 0713-2917,WISE 0713-2917,Y0,0.140517241,7,13,22.55,-29,17,51.9,23.2,-6.39,19.26,-11.25
WISE 0049+2151,WISE 0049+2151,T8.5,0.13526971,0,49,45.61,21,51,20,24.1,21.97,4.85,8.64
WISE 2056+1459,WISE 2056+1459,Y0,0.133061224,20,56,28.88,14,59,53.68,24.5,16.55,-17.06,5.93
